Category,Dataset,Model,G-Mean,Precision,Recall,F2-Score,Time (s)
Synthetic Drift Benchmarks,Synth_Hyperplane_0p01_var1,CSARF-MCC (Aguiar),0.0,0.0,0.0,0.0,47.2
Synthetic Drift Benchmarks,Synth_Hyperplane_0p01_var1,SMOTE-Window,0.0949,0.1111,0.009,0.011,46.24
Synthetic Drift Benchmarks,Synth_Hyperplane_0p02_var3,Dynamic CS-ARF (Proposed),0.6621,0.1983,0.4559,0.3619,90.19
Synthetic Drift Benchmarks,Synth_Hyperplane_0p02_var3,ARF (Standard),0.0,0.0,0.0,0.0,45.13
Synthetic Drift Benchmarks,Synth_Hyperplane_0p02_var3,HAT,0.0741,0.1111,0.0055,0.0068,6.9
Synthetic Drift Benchmarks,Synth_Hyperplane_0p02_var3,OOB,0.4353,0.1,0.1972,0.1651,74.52
Synthetic Drift Benchmarks,Synth_Hyperplane_0p02_var3,UOB,0.7024,0.056,0.6045,0.2042,15.24
Synthetic Drift Benchmarks,Synth_Hyperplane_0p02_var3,CSARF-MCC (Aguiar),0.0,0.0,0.0,0.0,50.22
Synthetic Drift Benchmarks,Synth_Hyperplane_0p02_var3,SMOTE-Window,0.2402,0.3226,0.0578,0.0692,62.85
Synthetic Drift Benchmarks,Synth_LED_0p005_var2,Dynamic CS-ARF (Proposed),0.6659,0.04,0.25,0.122,74.31
Synthetic Drift Benchmarks,Synth_LED_0p005_var2,ARF (Standard),0.0,0.0,0.0,0.0,85.43
Synthetic Drift Benchmarks,Synth_LED_0p005_var2,HAT,0.0,0.0,0.0,0.0,19.13
Synthetic Drift Benchmarks,Synth_LED_0p005_var2,OOB,0.6971,0.0465,0.4,0.1587,78.84
Synthetic Drift Benchmarks,Synth_LED_0p005_var2,UOB,0.0,0.0,0.0,0.0,27.93
Synthetic Drift Benchmarks,Synth_LED_0p005_var2,CSARF-MCC (Aguiar),0.0,0.0,0.0,0.0,85.11
Synthetic Drift Benchmarks,Synth_LED_0p005_var2,SMOTE-Window,0.0,0.0,0.0,0.0,79.84
Synthetic Drift Benchmarks,Synth_LED_0p01_var1,Dynamic CS-ARF (Proposed),0.6491,0.0286,0.1667,0.0847,81.17
Synthetic Drift Benchmarks,Synth_LED_0p01_var1,ARF (Standard),0.0,0.0,0.0,0.0,80.28
Synthetic Drift Benchmarks,Synth_LED_0p01_var1,HAT,0.6363,0.0059,0.1538,0.0256,19.69
Synthetic Drift Benchmarks,Synth_LED_0p01_var1,OOB,0.7232,0.0862,0.5556,0.266,77.09
Synthetic Drift Benchmarks,Synth_LED_0p01_var1,UOB,0.0,0.0,0.0,0.0,19.08
Synthetic Drift Benchmarks,Synth_LED_0p01_var1,CSARF-MCC (Aguiar),0.0,0.0,0.0,0.0,86.56
Synthetic Drift Benchmarks,Synth_LED_0p01_var1,SMOTE-Window,0.0,0.0,0.0,0.0,94.93
Synthetic Drift Benchmarks,Synth_RandomTree_0p005_var2,Dynamic CS-ARF (Proposed),0.2745,0.0069,0.08,0.0257,63.4
Synthetic Drift Benchmarks,Synth_RandomTree_0p005_var2,ARF (Standard),0.0,0.0,0.0,0.0,37.86
Synthetic Drift Benchmarks,Synth_RandomTree_0p005_var2,HAT,0.0,0.0,0.0,0.0,5.94
Synthetic Drift Benchmarks,Synth_RandomTree_0p005_var2,OOB,0.1373,0.0052,0.0192,0.0125,41.48
Synthetic Drift Benchmarks,Synth_RandomTree_0p005_var2,UOB,0.3509,0.008,0.1429,0.0325,11.06
Synthetic Drift Benchmarks,Synth_RandomTree_0p005_var2,CSARF-MCC (Aguiar),0.0,0.0,0.0,0.0,48.3
Synthetic Drift Benchmarks,Synth_RandomTree_0p005_var2,SMOTE-Window,0.0,0.0,0.0,0.0,49.15
Synthetic Drift Benchmarks,Synth_RandomTree_0p01_var1,Dynamic CS-ARF (Proposed),0.2409,0.0095,0.0606,0.0292,84.73
Synthetic Drift Benchmarks,Synth_RandomTree_0p01_var1,ARF (Standard),0.0,0.0,0.0,0.0,43.09
Synthetic Drift Benchmarks,Synth_RandomTree_0p01_var1,HAT,0.0,0.0,0.0,0.0,5.23
Synthetic Drift Benchmarks,Synth_RandomTree_0p01_var1,OOB,0.1147,0.0037,0.0135,0.0088,52.02
Synthetic Drift Benchmarks,Synth_RandomTree_0p01_var1,UOB,0.4432,0.0084,0.25,0.037,16.47
Synthetic Drift Benchmarks,Synth_RandomTree_0p01_var1,CSARF-MCC (Aguiar),0.0,0.0,0.0,0.0,46.49
Synthetic Drift Benchmarks,Synth_RandomTree_0p01_var1,SMOTE-Window,0.0,0.0,0.0,0.0,47.61
Synthetic Drift Benchmarks,Synth_SEA_0p005_var2,Dynamic CS-ARF (Proposed),0.9686,0.8182,0.9412,0.9137,57.87
Synthetic Drift Benchmarks,Synth_SEA_0p005_var2,ARF (Standard),0.892,0.975,0.7959,0.8263,29.79
Synthetic Drift Benchmarks,Synth_SEA_0p005_var2,HAT,0.6719,0.8841,0.4519,0.5008,4.56
Synthetic Drift Benchmarks,Synth_SEA_0p005_var2,OOB,0.8604,0.5242,0.7484,0.6895,47.5
Synthetic Drift Benchmarks,Synth_SEA_0p005_var2,UOB,0.8661,0.1286,0.8049,0.3922,11.16
Synthetic Drift Benchmarks,Synth_SEA_0p005_var2,CSARF-MCC (Aguiar),0.9078,0.973,0.8244,0.8504,32.94
Synthetic Drift Benchmarks,Synth_SEA_0p005_var2,SMOTE-Window,0.9209,0.9655,0.8485,0.8696,33.51
Synthetic Drift Benchmarks,Synth_SEA_0p01_var1,Dynamic CS-ARF (Proposed),0.9526,0.7258,0.9122,0.8676,61.89
Synthetic Drift Benchmarks,Synth_SEA_0p01_var1,ARF (Standard),0.8615,0.9703,0.7424,0.779,32.84
Synthetic Drift Benchmarks,Synth_SEA_0p01_var1,HAT,0.631,0.8548,0.3985,0.4461,5.09
Synthetic Drift Benchmarks,Synth_SEA_0p01_var1,OOB,0.8305,0.4853,0.6972,0.6412,47.43
Synthetic Drift Benchmarks,Synth_SEA_0p01_var1,UOB,0.9031,0.2338,0.8514,0.557,11.72
Synthetic Drift Benchmarks,Synth_SEA_0p01_var1,CSARF-MCC (Aguiar),0.8799,0.936,0.7748,0.8025,35.33
Synthetic Drift Benchmarks,Synth_SEA_0p01_var1,SMOTE-Window,0.9219,0.9615,0.8503,0.8705,32.9
Synthetic Drift Benchmarks,Synth_SEA_0p02_var3,Dynamic CS-ARF (Proposed),0.9483,0.7719,0.9053,0.8751,59.16
Synthetic Drift Benchmarks,Synth_SEA_0p02_var3,ARF (Standard),0.8545,0.9937,0.7302,0.7711,34.34
Synthetic Drift Benchmarks,Synth_SEA_0p02_var3,HAT,0.6039,0.8713,0.3651,0.4131,4.18
Synthetic Drift Benchmarks,Synth_SEA_0p02_var3,OOB,0.8518,0.5076,0.7378,0.6764,57.7
Synthetic Drift Benchmarks,Synth_SEA_0p02_var3,UOB,0.8885,0.241,0.8439,0.5624,11.96
Synthetic Drift Benchmarks,Synth_SEA_0p02_var3,CSARF-MCC (Aguiar),0.8794,0.9239,0.7745,0.8004,38.07
Synthetic Drift Benchmarks,Synth_SEA_0p02_var3,SMOTE-Window,0.9276,0.9635,0.8612,0.8799,39.58
Synthetic Drift Benchmarks,Synth_Waveform_0p02_var3,Dynamic CS-ARF (Proposed),0.6943,0.1575,0.4554,0.3305,77.15
Synthetic Drift Benchmarks,Synth_Waveform_0p02_var3,ARF (Standard),0.2478,1.0,0.0189,0.0235,64.86
Synthetic Drift Benchmarks,Synth_Waveform_0p02_var3,HAT,0.5954,0.079,0.35,0.2076,18.0
Synthetic Drift Benchmarks,Synth_Waveform_0p02_var3,OOB,0.6663,0.0802,0.4597,0.2361,79.86
Synthetic Drift Benchmarks,Synth_Waveform_0p02_var3,UOB,0.6474,0.1429,0.3832,0.2867,20.98
Synthetic Drift Benchmarks,Synth_Waveform_0p02_var3,CSARF-MCC (Aguiar),0.0,0.0,0.0,0.0,57.54
Synthetic Drift Benchmarks,Synth_Waveform_0p02_var3,SMOTE-Window,0.4001,0.5714,0.0792,0.0957,57.26
